iter	Passed	Remaining
875	5965	844
876	5972	837
877	5979	830
878	5985	823
879	5992	817
880	5998	810
881	6004	803
882	6012	796
883	6018	789
884	6025	782
885	6032	776
886	6039	769
887	6045	762
888	6052	755
889	6059	748
890	6066	742
891	6072	735
892	6079	728
893	6086	721
894	6092	714
895	6099	707
896	6106	701
897	6113	694
898	6119	687
899	6125	680
900	6132	673
901	6139	666
902	6145	660
903	6152	653
904	6159	646
905	6165	639
906	6171	632
907	6178	625
908	6185	619
909	6192	612
910	6199	605
911	6205	598
912	6213	592
913	6219	585
914	6226	578
915	6233	571
916	6239	564
917	6246	557
918	6252	551
919	6259	544
920	6265	537
921	6272	530
922	6279	523
923	6285	517
924	6293	510
925	6300	503
926	6307	496
927	6314	489
928	6321	483
929	6327	476
930	6334	469
931	6340	462
932	6348	455
933	6354	449
934	6361	442
935	6367	435
936	6375	428
937	6382	421
938	6388	415
939	6395	408
940	6402	401
941	6408	394
942	6415	387
943	6422	380
944	6429	374
945	6436	367
946	6442	360
947	6450	353
948	6457	347
949	6464	340
950	6471	333
951	6477	326
952	6484	319
953	6490	312
954	6497	306
955	6504	299
956	6511	292
957	6519	285
958	6526	279
959	6533	272
960	6539	265
961	6547	258
962	6553	251
963	6560	244
964	6567	238
965	6574	231
966	6581	224
967	6588	217
968	6594	210
969	6601	204
970	6607	197
971	6615	190
972	6621	183
973	6628	176
974	6634	170
975	6641	163
976	6648	156
977	6655	149
978	6661	142
979	6668	136
980	6675	129
981	6681	122
982	6688	115
983	6695	108
984	6702	102
985	6709	95
986	6716	88
987	6723	81
988	6730	74
989	6736	68
990	6744	61
991	6750	54
992	6757	47
993	6763	40
994	6771	34
995	6777	27
996	6785	20
997	6791	13
998	6798	6
999	6805	0
